GDPchange,FBgdp,GDPcapita,CABgdp,DEBTgdp,GOVeff,inflation,openness,rating
9.7,-3.3,3376,-10.8,50.6,-0.38,3,82.9,4
12.6,-5.1,4081,-15.5,51.8,-0.35,2.2,85.4,4
5.7,-7.4,3796,-15.3,55.3,-0.24,3.7,82.3,4
7.9,-4.2,3731,-11.3,53.9,-0.27,3.3,84.8,4
5.6,-3.5,4044,-12.2,55.2,-0.2,1.7,90,4
26.6,5.3,4324,9,27.5,-1.12,15.3,105.3,4
29,10.2,5307,12.6,21,-1.15,11.4,107.5,5
20.3,0.5,3410,6.3,138,-0.01,3.7,40.6,1
19.1,2.6,3994,2.1,124.9,-0.02,6.1,44.1,1
18.8,1.8,4736,3,70.2,-0.09,12.3,44.3,2
23,1.8,5491,3.6,63.8,-0.03,9.8,44,2
24.1,1.1,6667,2.8,55.1,-0.03,8.5,45,2
27.1,1.4,8271,2.2,44.4,-0.12,7.2,45.1,2
10.9,-0.6,7707,3.6,47.7,-0.35,7.7,37.4,2
25.9,0.2,9162,0.4,44.4,-0.21,10.9,40.1,2
27.7,-1.7,10994,-0.4,39.9,-0.16,9.5,41.4,2
18.4,-1.3,2080,-1.8,18.7,-0.21,5.2,62.6,6
18.6,-1.5,2995,-6.4,16.1,-0.35,6.6,58.3,6
13.3,-0.7,3787,-11.9,16.4,-0.16,5.2,55.7,6
-12,-7.5,2803,-15.8,40.4,0,6.5,58.5,6
10.1,-5,2995,-14.8,39.9,-0.15,9.5,66.1,6
9.2,-2.8,3271,-11,42.2,-0.09,4.7,71.1,6
5.8,0.9,26964,-5.3,14.1,1.81,2.4,37.5,17
7.6,1.2,32533,-6.1,12.3,2.04,2.5,37.9,17
7.9,1.5,35969,-5.7,11.6,1.77,2.8,39.4,17
7.8,2,37666,-5.3,10.3,1.76,3.3,41.6,17
9,1.6,44942,-6.2,9.6,1.82,2.9,40.6,17
9.2,1.4,48364,-4.4,9.8,1.78,3.7,45.6,17
1.5,-3.4,44831,-4.3,14,1.75,2.1,40.2,17
8.4,-5.5,56416,-2.9,19.1,1.81,2.8,40.7,17
6.5,-4.7,66768,-2.2,22.1,1.74,3,42,17
2,-1.5,31330,1.7,65.3,2.02,1.2,93,17
4.3,-4.4,35710,2.2,64.7,1.91,2.9,99.2,17
4.5,-1.7,37102,2.2,64.2,1.72,1.6,103.7,17
5.6,-1.5,39336,2.8,62.3,1.82,1.4,107.7,17
5.8,-0.9,45246,3.5,60.2,1.86,3.6,112.1,17
3.2,-0.9,49875,4.9,63.8,1.77,1.3,112.8,17
-2.3,-4.1,45994,2.7,69.2,1.72,1,95.6,17
3.7,-4.5,45293,3.4,72,1.88,2.3,104,17
5,-2.5,49682,1.4,72.5,1.66,3.2,111.3,17
